,text,polarity,subjectivity
499,move.v.07 another.s.01 state.n.04 pack.v.04 one.s.05 carry.n.01 sized.a.02 bag.n.06 pack.v.04 probably.r.01 suit.v.01,0,-1
500,move.v.02 another.s.01 state.n.04 pack.v.05 one.s.05 carry.n.01 sized.a.02 bag.n.06 pack.v.05 depend.v.01 state.n.04 cold.s.13 state.n.04 warm.s.10 state.n.04 underwear.n.01 two.s.01 set.n.05 apparel.n.01 wallet.n.01,0,-1
501,travel.v.01 cost.v.02 three.s.01 five_hundred.s.01 transmit.v.04 caterpillar.n.02 travel.v.01 raw.s.12 tenant.n.03 travel.v.01 family.n.01 want.v.05 presently.r.02 survive.v.01 future.s.03 door.n.04 kind.s.03 caterpillar.n.02 exit.v.01 sleep_together.v.01 family.n.04 drag.v.04 another.s.01 state.n.04 yea.n.01 heartless.s.02,1,1
502,move.v.07 another.s.01 state.n.04 habit.n.01 stop.v.01 trouble.n.01 marriage.n.04,0,-1
503,person.n.01 tell.v.07 make.v.36 support.n.06 think_of.v.04 move.v.02 another.s.01 area.n.01 normally.r.01 necessitate.v.01 work.n.05 dad.n.01,0,-1
504,decidedly.r.01 move.v.07 another.s.01 state.n.04 goal.n.04,0,-1
505,think.v.13 move.v.07 another.s.01 state.n.04,0,-1
506,travel.v.01 another.s.01 area.n.01 sincerely.r.01 know.v.03 understand.v.01 polish.n.02 suppose.v.01 suck.v.04 wish.v.02 drive.v.14 license.n.04 crash.v.02 suppose.v.01 car.n.04 mistake.n.01 mistake.n.01,-1,1
507,united_kingdom.n.01 weird.s.02 state.n.04 veracious.s.02 austerity.n.01 measure.v.04 harsh.s.01 set.n.05 people.n.03 share.n.01 want.v.05 move.v.07 off.r.02 still.r.04 kin.n.01 committedness.n.01 guy.n.03 experience.n.03 move.v.07 another.s.01 state.n.04,0,-1
508,cartoon.n.01 newspaper.n.04 journey.n.01 never.r.02 end.v.04 thing.n.01 life.n.10 necessitate.v.01 comprehensive.s.02 travel.v.01 another.s.01 country.n.04 voluntary.a.02 involuntary.a.02 belonging.n.01 refugee.n.01 foreigner.n.01 refuge.n.03,0,-1
509,thinking.n.01 reschedule.v.01 trajectory.n.01 home.n.03 june.n.01 thinking.n.01 travel.v.01 mid.s.01 october.n.01 hate.n.01 summer.n.01 back.r.03 home.n.03 showery.s.01 season.n.02 besides.r.01 plan.n.03 another.s.01 state.n.04 hop.n.03 travel.v.01 back.r.03 uranium.n.01,-1,1
510,people.n.01 sustain.v.04 tell.v.02 brave.s.03 throng.v.01 move.v.07 another.s.01 state.n.04 entirely.r.02 fiddling.s.01 sleep_together.v.01 support.n.06 constant.a.02 state.n.04 sleep_together.v.01 anxiety.n.01,-1,1
511,dream.v.01 run.v.34 off.r.02 another.s.01 state.n.04 move.v.02 cute.s.02 bungalow.n.01 construct.v.01 house.n.01 library.n.05 normal.s.04,1,1
512,move.v.07 another.s.01 state.n.04 pack.v.04 one.s.05 carry.n.01 sized.a.02 bag.n.06 pack.v.04 yoruba.n.02 yoruba.n.02,0,-1
513,desire.v.01 one.s.05 australian.n.01 prevent.v.02 move.v.07 european.a.01 country.n.02 actually.r.02 understand.v.01 catch.v.18 job.n.05 another.s.01 country.n.02 wish.v.02 miss.v.06 memo.n.01,-1,1
514,fahrenheit.n.01 celsius.n.01 sea_mile.n.01 kilometer.n.01 straight.a.06 metrical_foot.n.01 square.v.05 meter.n.03 unvoiced.a.01 conversion.n.09 move.v.11 uranium.n.01 another.s.01 state.n.04 shoe.n.01 size.n.02 conversion.n.09,1,1
515,move.v.07 another.s.01 state.n.04 year.n.03 two.s.01 luck.n.02 transfer.v.06 integral.s.02 wardrobe.n.03 personality.n.02,0,-1
516,think.v.13 move.v.07 another.s.01 state.n.04,0,-1
517,talk.v.02 move.v.02 another.s.01 state.n.04 wish.v.02 spend.v.03 external.s.03 trajectory.n.01 money.n.03 lion.n.02 mange.n.01,0,-1
518,travel.v.01 another.s.01 state.n.04 take.v.01 script.n.01,0,-1
519,fatty.a.01 niece.n.01 move.v.07 another.s.01 state.n.04 next.r.01 workweek.n.01,0,-1
520,move.v.04 another.s.01 state.n.04 think_of.v.04 teach.v.01 obstruct.v.01 u.s.01 war_cry.n.01 every.s.02 public.s.02 stead.n.01 potential.a.01,0,-1
521,plan.v.03 act.v.01 another.s.01 state.n.04 victor.n.01 induce.v.02 new.s.05 start.n.08 supporter.n.01 already.r.01 study.v.03 different.s.03 state.n.04 continue.v.01 order.v.01 difficult.a.01 suck.v.04 far.r.03 home.n.03,-1,1
522,liar.n.01 always.r.04 keep_off.v.01 specially.r.01 monumental.s.02 liar.n.01 wish.v.02 liar.n.01 trump.n.02 need.v.03 republican.n.03 society.n.04 state.n.04 trump.n.02 suppose.v.01 move.v.15 another.s.01 state.n.04 still.r.04,-1,1
523,people.n.01 think.v.01 move.v.07 another.s.01 state.n.04 wish.v.02 movie.n.01 pipe_dream.n.01 wish.v.02 literally.r.02 move.v.07 state.n.04 know.v.11 basic.n.01 terminology.n.01,1,1
524,move.v.07 another.s.01 state.n.04 pack.v.04 one.s.05 carry.n.01 sized.a.02 bag.n.06 pack.v.04 skin_care.n.01 laptop.n.01 camera.n.01 charger.n.02 journal.n.05 ampere.n.02 pencil.n.04 case.n.19 speaker.n.03,0,-1
525,stop.v.01 talk_through_one's_hat.v.01 delaware.n.04 move.v.07 another.s.01 state.n.04 marry.v.02 rich.s.11 world.n.08,0,-1
526,move.v.07 another.s.01 state.n.04 different.s.02,0,-1
527,examine.v.02 history.n.05 repeat.n.01 thinking.n.01 move.v.07 another.s.01 state.n.04,0,-1
528,jung.n.01 move.v.02 another.s.01 state.n.04 ultimately.r.01 meet.v.07 adequate.s.02 money.n.03 vanish.v.05 korea.n.01,0,-1
529,travel.v.01 impossibly.r.01 expensive.a.01 city.n.03 another.s.01 nation.n.02 attempt.n.01 conceited.s.01 promise.n.02 wildlife.n.01 live.s.09 nonexistent.a.01 bantam.s.01 back.r.02 yard.n.09,-1,1
530,last.s.09 public.s.02 remember.v.01 today.n.02 international_maritime_organization.n.01 american.a.02 front.v.01 scat.v.01 politics.n.05 travel.v.01 another.s.01 state.n.04 ampere.n.02 plan.n.03 support.v.09 entirely.r.02 united_states_secret_service.n.01 remember.v.01 want.v.03 rule_out.v.03,0,-1
531,talk_through_one's_hat.v.01 end.n.06 move.v.07 another.s.01 nation.n.02 fresh.s.02 startle.n.01 rather.r.02 temper.n.02 today.n.02,0,-1
532,old.s.07 talk.v.02 stagecoach.n.01 move.v.07 another.s.01 state.n.04 win.v.01,0,-1
533,receive.v.02 marry.v.02 move.v.07 another.s.01 state.n.04 voice.v.02 good.s.17 registered_nurse.n.01,1,1
534,x.n.02 director.n.01 free.a.01 transportation.n.02 person.n.01 club.n.06 punish.v.01 clause.n.01 permit.v.01 player.n.04 minor.s.10 sign.v.07 free.a.01 another.s.01 club.n.06 parent.n.02 move.v.04 another.s.01 state.n.04 not.r.01 football.n.02 reason.n.06,0,-1
535,move.v.02 another.s.01 state.n.04 lawsuit.n.01 cipher.n.04 ever.r.03 volunteer.v.02 cause.v.01 tea.n.05,0,-1
536,tactile_property.n.01 like.v.04 move.v.07 montreal.n.01 vancouver.n.03 electronic_warfare.n.01 rather.r.02 go.v.03 another.s.01 state.n.04,-1,1
537,sexual.a.02 tension.n.04 move.v.07 another.s.01 state.n.04 never.r.02 talk.v.02,-1,1
538,know.v.03 sad.s.02 lawsuit.n.01 go.v.03 family.n.01 gonorrhea.n.01 bust.n.04 startle.v.02 run.v.06 remind.v.01 much.r.04 month.n.02 ago.s.01 order.v.01 adieu.n.01 friend.n.01 lawsuit.n.01 move.v.07 whole.a.01 another.s.01 nation.n.02,-1,1
539,think.v.13 shave.v.06 integral.s.02 head.n.26 bald.v.01 move.v.07 another.s.01 state.n.04,0,-1
540,think.v.13 move.v.07 another.s.01 state.n.04 month.n.02,0,-1
541,move.v.07 another.s.01 state.n.04,0,-1
542,think.v.13 wish.v.02 disney.n.01 summation.n.04 future.s.03 movie.n.01 go.v.03 ban.v.01 move.v.07 another.s.01 state.n.04 sleep_together.v.01 china.n.01,-1,1
543,think.v.02 move.v.07 another.s.01 state.n.04 sister.n.01 think.v.02 desire.v.01 anymore.r.01 repeatedly.r.01 move.v.07 personal.a.01 thing.n.11 round.r.01 necessitate.v.01 ahead.r.04 tactile_property.n.01 like.n.01 trespass.n.02 privacy.n.02 hate.v.01 much.a.01 state.v.01 touch.v.03 thing.n.11,-1,1
544,aside.r.06 home.n.03 startle.v.02 wonder.v.03 move.v.07 another.s.01 state.n.04 even.r.03 worth.s.02,1,1
545,move.v.07 another.s.01 state.n.04 soon.r.01 inaugural.s.02 thing.n.09 sodium.n.01 inaugural.s.02 paycheck.n.01 sodium.n.01 buy.v.05 boy.n.02 never.r.02 wish.v.02 direction.n.06 wish.v.02 crazy.s.05,1,1
546,suppose.v.01 move.v.07 another.s.01 state.n.04 every.s.02 election.n.04 exit.v.01 even.r.03 dwell.v.02 social.s.05 metier.n.02 punch.n.01,1,1
547,move.v.02 another.s.01 state.n.04 easy.s.12 culture.n.06 shock_absorber.n.01 dispute.n.01 weather.n.01 loneliness.n.01 unfamiliarity.n.01 raw.s.12 path.n.04 fun.n.03 stimulate.v.03 easy.s.12,-1,1
548,one.n.02 thing.n.11 make.v.18 feel.v.13 uneasy.s.05 move.v.15 another.s.01 state.n.04 idea.n.01 basically.r.01 become.v.03 settler.n.01 american.a.02 even.r.03 though.r.01 try.v.01 mental_hospital.n.01 even.r.03 though.r.01 presently.r.02 move.v.02 autochthonal.s.01 person.n.01 black.s.12,0,-1
549,ten.s.01 exile.n.01 tax.n.01 tip.n.03 move.v.07 another.s.01 state.n.04,0,-1
550,profit.n.02 momentum.n.02 capture.n.05 travel.v.01 southerly.r.01 ally.v.01 ola.n.01 fall.v.15 quickly.r.01 reach.v.01 agreement.n.04 flee.v.01 another.s.01 state.n.04,1,1
551,move.v.07 another.s.01 state.n.04 testify.v.02 true.s.08 friend.n.01 well.r.13 trial.n.02 religion.n.02,1,1
552,thinking.n.01 move.v.07 another.s.01 state.n.04 suggestion.n.05,0,-1
553,whole.a.02 thing.n.12 move.v.14 another.s.01 nation.n.02 live.v.07 very.r.01 stifle.v.02 razing.n.02,0,-1
554,normalize.v.01 move.v.07 another.s.01 state.n.04 know.v.03 press_out.v.03 impression.n.01 mum.n.03,0,-1
555,move.v.07 another.s.01 country.n.02 two.s.01 sidereal_day.n.01 happy.s.04 proud.a.01 feel.v.04 sad.a.01 well.r.12 off.r.02 far.r.02 visit.v.07 still.r.04 hard.s.12,-1,1
556,move.v.07 another.s.01 state.n.04 future.s.03 year.n.03 consecrate.v.04,0,-1
557,front.v.01 travel.v.01 another.s.01 state.n.04 majority_rule.n.01 circle.v.02 drain.n.04,0,-1
558,elevation.n.03 seriously.r.01 think.v.09 move.v.07 another.s.01 state.n.04 sleep_together.v.01 idea.n.01 easy.a.03 recently.r.01 think.v.09 every.s.02 day.n.09 state.n.04 steer.v.01 dangerous.s.02 direction.n.06 ampere.n.02 want.v.05 flop.n.04 research.v.02 feasibility.n.01,-1,1
559,sometimes.r.01 think.v.09 erase.v.03 air_combat_command.n.01 act.v.01 another.s.01 state.n.04 restart.v.01 life.n.03 wholly.r.01 like.a.02 fresh.s.04 new.a.06 startle.n.01 possibly.r.01 ill.r.03 eighteen.s.01 plan.n.01 act.v.01,-1,1
560,nine.s.01 year.n.03 survive.v.01 together.r.03 past.a.01 eight.s.01 sum.n.02 survive.v.01 together.r.03 move.v.07 across.r.02 delaware.n.04 earth.n.01 twice.r.01 get_down.v.07 first.s.02 time.n.06 run.v.03 visit.v.07 family.n.01 another.s.01 nation.n.02 know.v.05 sad.s.02,-1,1
561,put.v.01 system.n.02 american.a.02 oligarch.n.01 even.r.03 put.v.01 string.n.04 even.r.03 evade.v.03 tax.n.01 move.v.02 another.s.01 state.n.04 tax.n.01,0,-1
562,earth.n.01 travel.v.01 frighten.v.01 pace.n.01 country.n.04 time.n.01 another.s.01 country.n.04 one.n.02 time.n.01 country.n.04 self.n.02 destruct.v.01 recklessness.n.01 leader.n.01 respect.v.02 earth.n.01 stage.n.07 open.v.09 doorway.n.01 translate.v.02 country.n.04 one.s.01 three.s.01,0,-1
563,move.v.07 another.s.01 state.n.04 tell.v.07 voice.v.02 rather.r.02 sexy.a.01 registered_nurse.n.01,0,-1
564,move.v.03 another.s.01 state.n.04 way.n.09 shift.v.07 position.n.03 redefine.v.02 success.n.03 take.v.29 very.r.01 farseeing.s.02 sabbatical.a.02 rekindle.v.02 creativity.n.01,1,1
565,move.v.02 another.s.01 state.n.04 carry.v.02 one.s.05 carry.n.01 sized.a.02 bag.n.04 carry.v.02 suit.v.01 minor.s.10 bag.n.04 transport.v.02 ohio.n.01 money.n.03,0,-1
566,police.n.01 submit.v.02 retiree.n.01 get.v.25 pension.n.01 another.s.01 state.n.04 move.v.07 greece.n.02 inaugural.s.02 fifteen.s.01 year.n.03 enjoy.v.01 flat.s.01 tax.n.01 rate.n.04 seven.s.01 regardless.r.01 horizontal_surface.n.01 income.n.01,1,1
567,francium.n.01 imagine.v.01 drug.v.02 dream.n.02 perform.v.03 move.v.02 another.s.01 country.n.04 debut.v.03 paragon.n.01 godhead.n.01 quality.n.03 pull.v.09 liveliness.n.02 truly.r.01 insane.a.01,-1,1
568,interested.a.01 move.v.07 another.s.01 state.n.04,1,1
569,ally.n.02 official.s.05 move.v.02 another.s.01 state.n.04 twenty.s.01 sidereal_day.n.01 please.v.02 transport.v.04 good.s.15 vibration.n.04 need.v.03 set.n.05 thing.n.12,-1,1
570,pipe_dream.n.01 become.v.03 well-defined.a.02 pipe_dream.n.01 move.v.15 another.s.01 area.n.01 least.a.01 south_dakota.n.01 sodium.n.01 make.v.03 happen.v.04,1,1
571,saying.n.01 supporter.n.01 make.v.43 time.n.02 irritate.v.03 all_right.s.01 study.v.03 supporter.n.01 move.v.15 another.s.01 state.n.04,1,1
572,travel.v.01 another.s.01 state.n.04 travel.v.01 university.n.03 construction.n.07 integral.s.02 raw.s.12 life.n.03 land.n.04 world_power.n.01 motion.n.06,0,-1
573,sometimes.r.01 vanish.v.04 move.v.07 another.s.01 state.n.04 startle.v.02 strait.n.01 perplex.v.01,1,1
574,sin.n.06 yes.n.01 three.s.01 child.n.04 inside.r.02 first.a.01 three.s.01 year.n.03 launch.v.05 occupation.n.01 move.v.02 another.s.01 state.n.04 harebrained.s.01 take.v.41 discipline.n.05 perseverance.n.02 grit.n.01 stress.n.03 village.n.02 support.n.10 mother.n.01 dragon.n.04 fuel.v.03 day.n.10 best.a.01,1,1
575,all_right.s.01 sunburn.v.01 alright.s.01 though.r.01 still.r.04 cope.v.01 push.v.09 move.v.02 another.s.01 state.n.04 five.s.01 sidereal_day.n.01 universe.n.03 suffer.v.11 wallet.n.01 strait.n.01 wish.v.02 veracious.s.02,0,-1
576,lease.v.03 thing.n.08 difficult.a.01 occur.v.02 never.r.02 pay.v.09 rip.n.02 move.v.04 another.s.01 state.n.04 pay.v.09 aunt.n.01 volunteer.v.02 stead.n.01 order.v.01 all_right.s.01 two.s.01 month.n.02 subsequently.r.01 call.v.05 order.v.01 occur.v.02,-1,1
577,plump.v.04 moon.n.05 regardless.r.01 court.n.03 lawsuit.n.01 securities_and_exchange_commission.n.01 uranium.n.01 government.n.01 sake.n.01 continue.v.01 trading.n.01 uranium.n.01 year.n.03 tax.n.01 make.v.35 lose.v.07 lawsuit.n.01 easy.s.12 act.v.01 offshore.r.01 another.s.01 state.n.04,1,1
578,soon.r.01 china.n.01 become.v.04 expensive.a.01 national.n.01 think.v.01 move.v.03 another.s.01 poor.a.03 state.n.04 sterilize.v.02 process.n.02 startle.v.02 another.s.01 state.n.04 name.n.06 profit.n.02 thrust.v.02 people.n.01 right.r.04,-1,1
579,display.n.06 case.n.20 take.v.01 minimalist.s.02 theme.n.03 month.n.02 travel.v.01 another.s.01 state.n.04 workweek.n.01 bring.v.04 methamphetamine.n.01 case.n.20,0,-1
580,commission.n.04 handle.n.01 move.v.02 another.s.01 state.n.04 saturday.n.01 till.v.01 february.n.01 personal_computer.n.01 irregular.s.07 setup.n.02 hopefully.r.02 comfortable.s.05 enough.r.01 sum_up.v.01 work.n.05 soon.r.01 potential.a.01 probably.r.01 much.r.05 month.n.02,1,1
581,sexual.a.02 tension.n.04 move.v.07 another.s.01 state.n.04 say.v.08 adieu.n.01 get.v.03,0,-1
582,milliliter.n.01 see.v.05 suppose.v.01 find.v.05 like.v.04 erase.v.03 account.n.03 move.v.07 another.s.01 state.n.04,1,1
583,think.v.10 late.s.03 month.n.02 italy.n.01 become.v.04 impossible.a.01 live.v.07 due.s.02 restriction.n.03 health.n.02 passport.n.02 see.v.05 move.v.14 another.s.01 nation.n.02 situation.n.03 nation.n.02,0,-1
584,populate.v.01 louisiana.n.01 about.r.07 five.s.01 year.n.03 ago.r.01 time.n.03 fly.s.01 fast.r.02 travel.v.01 following.s.02 round.r.01 another.s.01 nation.n.02,1,1
585,move.v.07 off.r.02 another.s.01 state.n.04 forever.r.02 tantalizing.s.02,0,-1
586,fantasy.v.01 move.v.07 another.s.01 state.n.04 pawl.n.01,0,-1
587,move.v.15 another.s.01 state.n.04 unvoiced.a.01 enough.r.01 make.v.18 excess.s.01 piquant.s.01 mind.n.01 crippling.s.01 anxiety.n.02,0,-1
588,joshua.n.02 gold.n.03 move.v.04 another.s.01 state.n.04 make.v.43 realize.v.03 family.n.01 stead.n.01 people.n.01 about.r.04 radiate.v.07 quilt.n.01 sexual_love.n.02,1,1
589,whitethorn.n.01 whitethorn.n.01 want.v.02 stop.v.01 watch.v.06 adieu.n.01 philippine.n.01 move.v.07 another.s.01 country.n.02 bc.r.01 jealousy.n.02 disease.n.01,0,-1
590,move.v.07 another.s.01 state.n.04 lend.v.01 four.s.01 album.n.02 videodisk.n.01 lend.v.01,0,-1
591,ghost.v.01 leave.v.02 buttocks.n.01 travel.v.01 another.s.01 state.n.04 heavy.s.18 thinker.n.01 recently.r.01,0,-1
592,ten.s.01 thirty-one.s.01 twenty-one.s.01 global.s.01 minimal.a.01 tax.n.01 fifteen.s.01 great.s.03 theme.n.03 pot.n.07 able.s.04 evade.v.03 tax.n.01 obligation.n.05 move.v.07 headquarters.n.03 another.s.01 state.n.04 honest.s.07 state.n.04 ampere.n.02 pot.n.07 shore_leave.n.01 ampere.n.02 justice.n.01,1,1
593,hello.n.01 go.v.03 move.v.07 throw.v.06 occupation.n.01 move.v.07 another.s.01 state.n.04 send.v.01 o.k..n.01 snog.v.01 position.n.06 group.n.03,0,-1
594,kind.n.01 slow.a.01 recently.r.01 travel.v.01 another.s.01 country.n.04 back.r.02 cool.s.06 soon.r.01,1,1
595,american.a.01 people.n.01 yield.v.10 mistake.n.02 insane.a.01 one.s.01 way.n.06 move.v.07 another.s.01 state.n.04,-1,1
596,anyhow.r.01 move.v.07 another.s.01 state.n.04 fun.n.02 one.n.02 toy.v.02 party.n.05,1,1
597,say.v.09 move.v.07 another.s.01 country.n.02 learn.v.02 mum.n.03 transport.v.04 fatherland.n.01 know.v.07 ohio.n.01 well.r.09 one.n.02 veridical.s.01 find_oneself.v.01 exit.v.01,-1,1
598,startle.v.02 sport.v.01 punch.v.03 cartoon.n.02 environmental.a.02 theme.n.03 pollute.v.01 tune.n.01 water_system.n.02 employee.n.01 win.v.01 live.s.09 move.v.14 headquarters.n.03 another.s.01 nation.n.02 environment.n.02 pollution.n.01 polluter.n.01,1,1
599,move.v.07 another.s.01 state.n.04 sure.s.08 sin.n.06 happen.v.04,-1,1
600,ultimately.r.01 move.v.07 another.s.01 state.n.04,0,-1
601,supporter.n.01 populate.v.01 district_of_columbia.n.01 area.n.05 another.s.01 nation.n.02 disperse.v.04 respite.n.04 uranium.n.01 truly.r.01 difficult.a.01 clairvoyance.n.01 round.r.01 time.n.03 year.n.03 suppose.v.01 regret.v.04 move.v.02 upstate.r.01 new_york.n.02 loneliness.n.01 might.n.01 difficult.a.01 part.n.01 ph.d..n.01,0,-1
602,part.n.10 state.v.01 move.v.07 another.s.01 state.n.04 make.v.02 marry.v.02 local.a.03 part.n.10 choose.v.03 learn.v.02 kin.n.01 spouse.n.01 visa.n.01 render.v.04,0,-1
603,kill.v.14 induce.v.02 get.v.03 batman.n.01 rhythm.n.01 twenty.s.01 pulp.n.05 ampere.n.02 suffer.v.11 gunman.n.02 move.v.02 another.s.01 state.n.04 united_states_army.n.01 active.s.08 district_of_columbia.n.01 wonder.n.02,-1,1
604,never.r.02 occur.v.02 back.r.04 keep_off.v.01 even.r.03 mean.v.01 travel.v.01 another.s.01 state.n.04,0,-1
605,manifest.v.03 move.v.07 another.s.01 state.n.04 next.r.01 year.n.03,0,-1
606,literally.r.02 palpate.v.01 call.v.10 move.v.07 another.s.01 state.n.04 next.r.01 workweek.n.01,1,1
607,wether.n.01 travel.v.01 township.n.01 across.r.02 country.n.04 another.s.01 country.n.04 olympia.n.02 make.v.44 move.n.01 cinch.n.01 get.v.03 free.a.01 estimate.n.04 today.n.02 mover.n.04,1,1
608,trump.n.02 united_states.n.01 first.r.03 make.v.16 united_states.n.01 great.s.03 lie.n.02 former.a.01 guy.n.03 float.v.04 theme.n.03 travel.v.01 another.s.01 state.n.04 democrat.n.02 pass.v.01 billionaire.n.01 tax.n.01 debar.v.02 yield.v.10 tax.n.01 find.v.01 besides.r.02 vacate.v.01 hello.n.01 citizenship.n.02 debar.v.02 tax.n.01 trump.v.03 first.r.03,0,-1
609,move.v.02 another.s.01 country.n.02 soviet_union.n.01 doubt.n.02 might.n.01 substitution.n.02 beneficial.s.01 elimination.n.01 let.v.01 screen_door.n.01 door.n.01 hit.v.12 beneficial.s.01 overlord.n.01 schism.n.01,1,1
610,move.v.07 another.s.01 state.n.04,0,-1
611,better.v.03 receive.v.02 learn.v.02 spanish.a.01 call.v.03 potentially.r.01 move.v.07 another.s.01 nation.n.02 try.v.01 get.n.01 trip.v.05 tense.n.01 receive.v.02 tantalum.n.01 receive.v.02 beneficial.s.01 way.n.06,1,1
612,move.v.07 another.s.01 state.n.04 pack.v.04 one.s.05 carry.n.01 sized.a.02 bag.n.06 pack.v.04,0,-1
613,fantasy.v.01 move.v.07 another.s.01 state.n.04,0,-1
614,specific.s.02 regretful.a.01 case.n.01 scenario.n.03 sleep_together.v.01 deserve.v.01 switch.n.07 school.n.05 move.v.07 another.s.01 state.n.04 bye.n.01 sleep_together.v.01 ever.r.03,-1,1
615,think.v.13 move.v.07 another.s.01 state.n.04 united_states.n.01 party_favor.n.01 take.v.01 criminal.s.03 syndicate.n.01,0,-1
616,turn.v.10 move.v.02 another.s.01 state.n.04 five.s.01 day.n.04 homework.n.01 actually.r.04 reasonably.r.01 nerve-racking.s.01,1,1
617,move.v.07 another.s.01 state.n.04 pack.v.04 one.s.05 carry.n.01 sized.a.02 bag.n.06 pack.v.04 laptop.n.01 shirt.n.01,0,-1
618,stop.v.01 move.v.07 another.s.01 state.n.04,0,-1
619,trump.n.02 recently.r.01 make.v.16 remark.n.01 study.v.03 move.v.15 another.s.01 state.n.04 willing.a.01 put_up.v.08 money.n.03 pay.v.01 hello.n.01 move.v.15 fee.n.02 elevation.n.03,0,-1
620,thing.n.01 want.v.02 lease.v.04 notary.n.01 transmit.v.04 property.n.02 family.n.01 member.n.04 buying.n.01 sell.v.01 house.n.01 sign.v.04 affidavit.n.01 write.v.02 pay_back.v.02 mortgage.n.01 even.r.03 move.v.07 another.s.01 state.n.04,0,-1
621,jail.n.01 prison_term.n.01 move.v.07 another.s.01 state.n.04,0,-1
622,sodium.n.01 stay.v.04 another.s.01 area.n.01 least.a.01 six.n.01 calendar_month.n.01 study.n.10 purpose.n.01 move.v.07 want.v.05 bring.v.11 beanie.n.01 one.s.05 bring.v.11,0,-1
623,move.v.07 another.s.01 state.n.04 pack.v.04 one.s.05 carry.n.01 sized.a.02 bag.n.06 pack.v.04 passport.n.02 samarium.n.01 standard_atmosphere.n.01 directorate_for_inter-services_intelligence.n.01,0,-1
624,hate.n.01 order.v.01 state.n.04 far.r.05 travel.v.01 many.a.01 crazy.n.01 powerful.a.01 stead.n.01 look.v.02 wish.v.02 mid.s.01 term.n.01 come.v.11 youthful.s.01 world.n.08 seriously.r.01 view.v.02 travel.v.01 another.s.01 state.n.04,0,-1
625,see.v.10 trailing.n.01 united_states_postal_service.n.01 software.n.01 learn.v.02 message.n.02 software.n.01 move.v.15 network.n.05 certain.a.02 code.v.02 know.v.05 sin.n.06 land.v.06 several.s.03 country.n.02 possibly.r.01 another.s.01 country.n.02 perplex.v.01 house.n.09,-1,1
626,move.v.07 another.s.01 state.n.04 pack.v.04 one.s.05 carry.n.01 sized.a.02 bag.n.06 pack.v.04 sound_recording.n.01 book.n.11 thing.n.12 cellular_telephone.n.01 west.n.02 wallet.n.01 charger.n.02 west.n.02 water.n.03 bottle.n.03 bite.n.04,0,-1
627,literally.r.02 similarity.n.02 nosy.s.01 people.n.01 disapprove.v.02 wholly.r.01 unlike.a.01 reason.n.06 move.v.07 another.s.01 state.n.04,1,1
628,bullshit.n.01 bullshit.n.01 suppose.v.01 move.v.07 another.s.01 state.n.04 win.v.01 kick_back.v.02 hello.n.01 orange.n.05 buttocks.n.01,0,-1
629,trump.n.02 propose.v.01 possibly.r.01 move.v.16 another.s.01 state.n.04 democrat.n.02 travel_by.v.01 billionaire.n.01 tax.n.01 hello.n.01 supporter.n.01 think.v.03 all_right.s.01 trump.n.02 give.v.10 tax.n.01 rate.n.04,0,-1
630,align.v.01 move.v.14 another.s.01 nation.n.02 live.v.07 honestly.r.02 easy.s.12 transition.n.04 ever.r.03 very.r.01 love.v.02,1,1
631,contend.v.06 person.n.01 please.v.02 help.v.06 honestly.r.02 sleep_together.v.01 all_right.s.01 absolutely.r.01 sleep_together.v.01 pull.v.09 writing.n.03 recitation.n.02 right.s.08 yes.n.01 always.r.01 move.v.02 another.s.01 state.n.04 trouble.n.01 thing.n.12 love.v.02,-1,1
632,trump.n.02 float.v.04 theme.n.03 travel.v.01 another.s.01 state.n.04 democrat.n.02 travel_by.v.01 billionaire.n.01 tax.n.01 excess.s.01 incentive.n.01 democrat.n.02 get.v.03 billionaire.n.01 tax.n.01 travel_by.v.01 damn.n.01,-1,1
633,umbrage.n.01 move.v.07 entirely.r.02 another.s.01 state.n.04 sucking.n.01,-1,1
634,unwrap.v.02 newsworthiness.n.01 trump.n.02 float.v.04 estimate.n.01 travel.v.01 another.s.01 nation.n.02 democrat.n.02 travel_by.v.01 billionaire.n.01 tax.n.01 help.v.06 trump.v.03 pack.v.01 hello.n.01 udder.n.01,0,-1
635,theme.n.03 cause.v.01 incredibly.r.01 easy.a.03 deploy.v.02 african.a.01 state.n.04 produce.v.02 incentive.n.01 african.a.01 regulator.n.02 see.v.10 better.s.03 rest.n.02 occupation.n.01 potential.a.01 motivate.v.01 another.s.01 state.n.04 easy.a.03 snap.v.10 release.n.08,1,1
636,trump.n.02 float.v.04 theme.n.03 travel.v.01 another.s.01 state.n.04 democrat.n.02 travel_by.v.01 billionaire.n.01 tax.n.01,0,-1
637,talk.v.02 move.v.07 another.s.01 state.n.04 constantly.r.02 think.v.10 way.n.06 avoid.v.01 tax.n.01,0,-1
638,justice.n.02 system.n.02 work.v.21 prison.n.02 stead.n.01 move.v.02 first.s.02 president_of_the_united_states.n.02 float.v.05 idea.n.01 move.v.02 another.s.01 state.n.04 never.r.02 patriot.n.01 another.s.01 criminal.s.03 asshole.n.01,-1,1
639,trump.n.02 float.v.05 idea.n.01 travel.v.01 another.s.01 state.n.04 win.v.01 trump.v.03 discussion.n.02 beneficial.s.01 secondhand.s.02 toilet.n.04 paper.n.05,1,1
