text povided as input,polarity,subjectivity
How about moving them to another Country,NEUTRAL,NEUTRAL
"Moving to another country is a stressful thing, especially with two small children and a husband who has to spend most of his time away from home for work. How did I deal with it? I wrote a novel! https://t.co/H2oAfIdaD3 #Blog #BlogPost #Blogger #HistFic",NEUTRAL,NEUTRAL
This urge to deactivate all my social media and moving to another country then disappear,POSITIVE,OPINIONATED
I wish moving to another country wasn’t such a process…,NEUTRAL,NEUTRAL
Moving to another country would be it,NEUTRAL,NEUTRAL
One of my friend’s that’s been my friend since we been babies is getting married next month and moving to another country &amp; it’s slowly hitting me now that’s she moving away!,NEUTRAL,NEUTRAL
"one of the biggest advantages of moving to another country is that they have Amazon here, and I was finally able to buy this wonderful book of @jonnysun https://t.co/8HAE9QIm2y",POSITIVE,OPINIONATED
"the timing is so fucking awful and heartbreaking...my best friend is moving to another COUNTRY on the other side of this planet, idk when i'll see her again, BUT both of us are barely getting time to meet each other because LIFE SUCKS. i'm knee deep in my dedicated period of",NEGATIVE,OPINIONATED
I can’t stop thinking about the girl in LINT who really believed that the vaccine would affect her fertility and render her unable to ever have babies (And somehow she’s NEVER had a jab in her life despite moving to another country for work? And she works in healthcare????),NEGATIVE,OPINIONATED
Republicans moving to another country,NEUTRAL,NEUTRAL
Lazy Marty is pretty disappointed by what's going on with humans in Austria. He is therefore moving to another country and offers his place to someone more capable of surviving in a totalitarian state. Coming back when this shit is over. Handing over to the Pink Cyber Sniper. https://t.co/Xdg6IeHdn9,NEGATIVE,OPINIONATED
"This is disgusting, I look forward to these ppl moving to another country",NEGATIVE,OPINIONATED
So moving to live in another country is colonialism? How do you like Chicago?,POSITIVE,OPINIONATED
"S2 Ep. 8 Chat about Moving to another Country https://t.co/Ejmey8ogU1 via @YouTube Quick chat, we'd love to hear your input! https://t.co/t1kLAfjmkS",POSITIVE,OPINIONATED
S. 2 Episode 8 Let's chat about moving to another country https://t.co/fQyWn6OOCc,NEUTRAL,NEUTRAL
"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack? — I would pack Loki cuz everything else can be replaced https://t.co/SYygOh7MB7",NEUTRAL,NEUTRAL
"been thinking about moving to another country when I'm older, didn't think id ever consider el-Salvador as one of those countries. https://t.co/6vsQgu9vVG",NEUTRAL,NEUTRAL
oh my god i feel like my assholes gonna fall out my ass also like throwing up I AM SO STRESSED DKDJRKJRKD who thought moving to another country wasnt stressful am i right ahahahahahshshahahahahaha shit,NEGATIVE,OPINIONATED
The need of moving out to another country when you feel like shit. https://t.co/BxVZNW6G50 https://t.co/h2jLHpOOzZ,POSITIVE,OPINIONATED
"Tree of Time One of my friends is moving to another country next week :""( so I decided to write her a poem and draw something based on it. While writing it I realized just how fast time goes by, and still, just how much more we have yet to experience #drawing #sketch https://t.co/05HWJ3rgbf",NEUTRAL,NEUTRAL
"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack? — “A bag with all of my Poké Balls. Me and my crew can figure it out from there!” https://t.co/EJBvqCf1uu",NEUTRAL,NEUTRAL
Imagine moving to another country and just changing my whole identity,NEUTRAL,NEUTRAL
Lowkey bro I’m finna start looking into to how much moving to another country would be n I’m not playin,NEUTRAL,NEUTRAL
daydreaming about moving to another country with my future s/o and cutting off contact w everyone else except each other,NEUTRAL,NEUTRAL
i’ve decided if i don’t make it into my program this year i am moving to another country,NEUTRAL,NEUTRAL
I thought moving to another country would solve all my problems,NEUTRAL,NEUTRAL
im convinced moving to another country would cure my depression completely,NEUTRAL,NEUTRAL
Idk but moving to another country will rlly give me slimmer chance to see enhypen so soon gusto ko umattend with filo engenes pls lang:((,NEGATIVE,OPINIONATED
"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack? pera nga… — sapakan na 'yan sapakan na 'yan https://t.co/m1Yqla2Axe",NEUTRAL,NEUTRAL
"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack? pera pe… — drop some money https://t.co/3MU9QhjwQQ",NEUTRAL,NEUTRAL
Well here comes the im moving to another country comments….actually do it. Don’t talk about for 5 minutes of attention…do it and it will be so much better in another country. Injustice exists everywhere…,POSITIVE,OPINIONATED
"If you are thinking of moving to another country and starting a business once you are there, this is a very ambitious idea and one you have to think through thoroughly. You first have to make sure that the local https://t.co/sns1BlpzsU",NEUTRAL,NEUTRAL
I think about moving to another country very often. Almost every day.,NEUTRAL,NEUTRAL
Can't decide if it's even worth planning a future outside my own home at this point in America. Will we ever get COVID under control or should I just commit to moving to another country?,POSITIVE,OPINIONATED
My old roommate is talking about MOVING all the way to ANOTHER COUNTRY,NEUTRAL,NEUTRAL
"it feels like i haven’t been active here for years, this is what moving to another country on your own and going to a new school does to you",NEUTRAL,NEUTRAL
Thinking about moving to another country rn lol,POSITIVE,OPINIONATED
Can't sleep bc I'm moving to another country in a month and 2 weeks and I'm gonna miss my best friends so much it's scary af,NEGATIVE,OPINIONATED
I'll consider moving to another country if it means I don't have to do my own taxes ever again.,NEUTRAL,NEUTRAL
"I have been talking about moving to Croatia, the land of my grandparents. I flew in the war in Viet Nam 50 years ago to defend the principles of this country in another country. Now the same autocrats are attempting to control here and they are winning. I'm planning to leave.",NEUTRAL,NEUTRAL
moving to another country and looking for a few badass patriots to help me pack,POSITIVE,OPINIONATED
maybe its because im 2 weeks away from moving to another country and have flu so now every part of me hurts,NEGATIVE,OPINIONATED
Moving to another country is out of the question,NEUTRAL,NEUTRAL
"If you’re even considering moving to another country to live and work watch this video. To expats: this is “the talk” that y’all got from “lifers” &amp; vets, no matter what the country. Yes “3 stages of culture shock.” That one. https://t.co/90b0tIn6y3",NEUTRAL,NEUTRAL
"If I’m that dude, Im probably moving to another country asap.",NEUTRAL,NEUTRAL
i be having dreams of one day moving to another country with a small group of black lesbians &amp; gay men &amp; building our own community where it’s physically &amp; mentally safe.,POSITIVE,OPINIONATED
This is the most I've genuinely considered moving to another country. I'm so past being a doomer it isn't even funny.,POSITIVE,OPINIONATED
I joked 9 years ago about moving to another country and…I need to revisit that cause…this is no way to live. The disrespect of the people based on a constructed ideal such as race is…insanity.,NEGATIVE,OPINIONATED
"don’t think moving to another country is any better, the US just way more open with its racism/prejudice as if it’s normal",NEUTRAL,NEUTRAL
moving to another country will not remove you from the experience of racism or white privilege,NEUTRAL,NEUTRAL
I will be moving to another country in my lifetime. I promise,NEUTRAL,NEUTRAL
When My ass retire I’m moving to another country. I know y’all tired of hearing me say this. I mean it. I will not live here. If I could move now and be able to live elsewhere I would.,NEUTRAL,NEUTRAL
Like moving to another country. Out justice system sucks.,NEGATIVE,OPINIONATED
I’m moving to another country.,NEUTRAL,NEUTRAL
The way moving to another country has been on my mind……,NEUTRAL,NEUTRAL
Moving to another country I can’t take this shit anymore,NEGATIVE,OPINIONATED
"im 100% serious this past 2 years I’ve been thinking nonstop about moving to another country. im not proud to be an american at all i fucking despise this place, no justice for anyone but the rich and white and it makes me sick",NEGATIVE,OPINIONATED
Moving to another country for a year sounds like fun until it's one week until you leave and you must pack up your whole life and you don't remember how you fit things in last time???,POSITIVE,OPINIONATED
I will be moving to another country when this shit is all over cuz fuck america.,NEGATIVE,OPINIONATED
no offense but moving to another country next years is actually sucks,NEGATIVE,OPINIONATED
moving to another country and starting my life fresh sounds very appealing rn,NEUTRAL,NEUTRAL
"low key thinking about moving to another country and starting a new life, doing something crazy and act as if I’m in a movie",NEUTRAL,NEUTRAL
no becaus imagine being 15 moving to another country all by yourself id be terrified niki has so much courage for being able to do that and follow his dreams. i'm so glad that at least he has the members to rely on i know it was probably really hard for him :((,NEGATIVE,OPINIONATED
i be doing a lot of research when it comes to the possibility of moving to another country,NEUTRAL,NEUTRAL
"Firstly, let’s take back control of our borders by moving them to Albania. Secondly, no consultation with Albania. Thirdly, the Tories have managed to piss off yet another country. If we weren’t here to witness this stupidity first hand we wouldn’t believe it.",NEUTRAL,NEUTRAL
A lovely for a friend to moving away or lives in another country can do any two countries comes in a gift box https://t.co/N4mXpOeyI4 #Earlybiz #Christmasgifts #MHHSBD https://t.co/SJcgSdWzH0,POSITIVE,OPINIONATED
now there’s really nothing stopping me from moving to another country next year,POSITIVE,OPINIONATED
Moving to another country has set me back a week's worth of work. I hate moving!,NEGATIVE,OPINIONATED
"I got a gym membership this week. Coming from a small town and moving to a bigger city in another country I often find myself nervous because things are new, but I made it a point to go to gain some confidence and these two girls were just whispering &amp; looking me up &amp; down ugh",NEGATIVE,OPINIONATED
"i think moving to another country, changing my entire identity and starting over would cure my depression",NEUTRAL,NEUTRAL
"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack? — لاوجلا نحاشو",NEUTRAL,NEUTRAL
ي تاعاس ةعومجمو اهبحا,NEUTRAL,NEUTRAL
ن يتروص https://t.co/Ql6t7aeryC,NEUTRAL,NEUTRAL
i can’t wait to tell my therapist tomorrow i’m moving to another country next week after not having a session with her since october,NEGATIVE,OPINIONATED
"McCarthy on the 2022 Winter Olympics: I have a hard time wondering why the world would reward China, especially after COVID with another Olympics..why we wouldn't move it to another country? I would support the moving of the Olympics.",POSITIVE,OPINIONATED
Jd terbayang ini salah ga si motivasi hidup gua paling utama pengen punya uang banyak aja terus moving out to another country and live happily ever after ((padahal tau juga klo proses nya mau begitu ttp aja lewatin banyak tai juga)),NEUTRAL,NEUTRAL
NEWS: Trump floats the idea of “moving to another country” if Democrats pass a “billionaires tax.” RETWEET IF YOU WOULD HELP TRUMP PACK HIS BAGS!,NEUTRAL,NEUTRAL
How worried should I be if I’m seriously considering moving to another country just to see how it goes?,POSITIVE,OPINIONATED
No offense but moving to another country next year is sucks.,NEGATIVE,OPINIONATED
"Reginn: I don't know if I have what it takes to rule...I don't want to do it tbh.... Me: Omg open elections time??? Or anything moving away from a monarchy?? Dagr: Lol ok I'll take over for awhile even though I am literally queen of another country too Ah, Fire Emblem",POSITIVE,OPINIONATED
No offence but moving to another country next year is actually sucks,NEGATIVE,OPINIONATED
I really been plotting on moving to another country cause America ain’t it for me,POSITIVE,OPINIONATED
no offense but moving to another country next year is actually sucks.,NEGATIVE,OPINIONATED
A thief was nominated to control our currency by Communist ruler Biden. Good luck America. We are moving to another country because this country has evil rulers. Let us just go and envade another country by thousands of us crossing other borders. They killed our border. Let us go,POSITIVE,OPINIONATED
Do y’all ever see yourselves living outside of America? Like I could see me moving to another country.,POSITIVE,OPINIONATED
Are you considering studying abroad but feeling overwhelmed about moving away to another country all on your own? Maybe you're not sure where to begin? See our article on living independently! #studyabroad #travelabroad #travel #plan #independent https://t.co/yy8rjwdsT2 https://t.co/LDAsy0lzDC,NEUTRAL,NEUTRAL
I feel like moving to another country and starting fresh... This country has too many triggers for me... Everyday I'm walking in a minefield trying to be careful where I step... Cos one more detonation and I may just lose my mind,NEGATIVE,OPINIONATED
A lot of people ask me if I would consider moving to another country and every day I feel like I just might.,POSITIVE,OPINIONATED
someone in chat just said “is miyoung moving to another country or is she buying a mansion after this?”,NEUTRAL,NEUTRAL
"WATCH: Police hunting stores, highways for the unvaccinated https://t.co/EGDiYBTY8h OMG! Seriously! Guess they are living in China! If I were any of them, I’d be packing up and moving to another country! That’s total BS! Time for a real uprising! There’s strength in numbers!",NEGATIVE,OPINIONATED
"What’s the most competently and conservatively run country? I’m thinking of bailing out and moving to another country because there are just too many traitors in America who hate Americans, hate their country and hate themselves too. @RepLoriTrahan @SenMarkey #StopBuildBackStupid",NEGATIVE,OPINIONATED
"What’s the most competently and conservatively run country? I’m thinking of bailing out and moving to another country because there are just too many traitors in America who hate Americans, hate their country and hate themselves too. @RepLoriTrahan @SenWarren #StopBuildBackStupid",NEGATIVE,OPINIONATED
"What is the most competently and conservatively run country? I am thinking of bailing out and moving to another country because there are just too many traitors in America who hate Americans, hate their country and hate themselves too. @TheKuhnerReport #StopBuildBackStupid",NEGATIVE,OPINIONATED
Today Bahar will be sharing her tips for #founders and how thinking of yourselves as the product is key when moving your business to another country #FemaleTechFounder,NEUTRAL,NEUTRAL
Listen it takes me 3 days to plan a day trip to Edinburgh. The guy is moving his whole fvkin life to another country. Patience my friends,NEUTRAL,NEUTRAL
normalize moving to another country because you don't know how to express your feelings to your mom,NEUTRAL,NEUTRAL
manifesting moving to another country for mental stability,NEUTRAL,NEUTRAL
"Last night I was thinking about moving to another country and starting all over again. Tonight I’m thinking about all the things I can accomplish here if I work harder and move in the direction I want. It’s time to do me, it’s time to work smarter.",NEUTRAL,NEUTRAL
Kreea is fire for just moving to another country with no second guessing. I wish I had that mindset sometimes,NEGATIVE,OPINIONATED
The sexual tension between me and moving to another country.,NEUTRAL,NEUTRAL
"Everyone getting ready for Christmas, me and @Benjamin_Magnus over here trying our best to ignore it since we're moving to another country. It's fine. Only gonna cry a little. Can't decorate for Thanksgiving either...sigh.",NEGATIVE,OPINIONATED
I often think about moving to another country and sippin a pint while I watch America crumble under all of its injustices and laugh at my local pub with random people,NEGATIVE,OPINIONATED
"Another very sad day in America, when one person can say to another person “Get your black ass back!” @TG22110 really may be on to something regarding moving to another country. Between these trials, the political corruption and more, how much more can we take? #depression",NEGATIVE,OPINIONATED
"Moving to another country can be an awesome opportunity, yet additionally an overwhelming challenge. Remaining someplace for a couple of days and living. #expat #expatriate #expatlife #globalnomad #digitalnomad #expats https://t.co/WBxwfOKq4l",POSITIVE,OPINIONATED
"sick of being the therapist friend, gonna me the isolating myself by moving to another country friend instead",NEGATIVE,OPINIONATED
We've been featured! We love sharing our story of selling it all and moving to another country. We invite you to join our journey! Please share! https://t.co/4ha4W2CkNh #Features #authors #Italy #book #readingcommunity #TravelTuesday,POSITIVE,OPINIONATED
moving to another country fun,POSITIVE,OPINIONATED
I mean... Moving to another country - even for a few months - when one of his kids just went through something really bad... I don't know #911onFOX,NEUTRAL,NEUTRAL
JUST BECAUSE IM MOVING TO ANOTHER COUNTRY IN FEBRUARY THEYRE HAVING A CONCERT IN NEW YORK THEY REALLY SAID CRY FOR ME,NEGATIVE,OPINIONATED
Not me trying to convince my friends to start a vlog to cover them moving to another country but with a scripted element that reveals something sinister going on between them,NEUTRAL,NEUTRAL
that’s me at the age of 17 moving alone to another country.,NEUTRAL,NEUTRAL
"if kyle walks free i give up on our justice system. i am moving to another country, maybe hawaii.",POSITIVE,OPINIONATED
i feel like all my problems can be solved by plastic surgery and moving to another country,NEGATIVE,OPINIONATED
gm!! I quit my job !! and I’m also moving to another country !! just girly things,NEUTRAL,NEUTRAL
"Thinking about moving to another country, it's gonna be long and expensive, so I gotta start saving money.",NEGATIVE,OPINIONATED
"The femenine urge of faking your own death, moving to another country, changing your name and taking the voluntary decision of forgetting you ever had a life before that",NEUTRAL,NEUTRAL
"""Moving to another country, living there, and working there is one thing — however, deciding to become a citizen of that country is a commitment that’s on a whole other level. It’s like getting married. You have to take a vow..."" https://t.co/kcF7jcpanS #politics #citizenship",NEUTRAL,NEUTRAL
#90dayfiancetheotherway is a story of American privilege - Part 1. -Kenny and Jenny moving to another country to marry their partners but after years they’ve done no effort to learn the language and talk to their partners’ families #90DayFiance https://t.co/fKMJnWxlUk,NEUTRAL,NEUTRAL
"Anyone here tried bringing kpop albums when moving to another country? Will they be allowed in my checked baggage? Huhuhuhu. Also, lightsticks?",NEUTRAL,NEUTRAL
what don’t men get about I’m moving to another country in 2 months I don’t want to date u,NEUTRAL,NEUTRAL
"Some big things are happening in my life: I am moving to another city (another country in fact), with no real plan except being close to friends and trying the world from a different angle.",POSITIVE,OPINIONATED
moving to another country if ateez won't come to my country ?@!$!#!#,NEUTRAL,NEUTRAL
"No offense, but moving to another country next year is actually sucks",NEGATIVE,OPINIONATED
Really been thinking about putting everything in storage and moving to another country for a few months to a year.,POSITIVE,OPINIONATED
Next year I plan on moving to Africa or another country ima sell my truck and keep it moving just to experience life . Preferably the Congo,NEUTRAL,NEUTRAL
"Why is everyone I know either pregnant, engaged or moving to another country?",NEUTRAL,NEUTRAL
If only the people wanting to run away from india knew what blunders the western countries hold:) moving to another country won't solve their problems!,POSITIVE,OPINIONATED
"In a communist country you don’t have freedom of speech, you don’t get to question the regime, you don’t have the option of moving to another country without literally escaping. Is that what we’re asking for in the US by shutting down political debates before points are made?",NEUTRAL,NEUTRAL
no effense but 2022 moving to another country and living in there happily actually sucks,NEGATIVE,OPINIONATED
"I’m moving out, even to another country next year. Claiming it.",NEUTRAL,NEUTRAL
"Everybody has this ""grass is greener on the other side"" mentality. Your life is not going to magically change by moving to another country.",NEUTRAL,NEUTRAL
"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack? — I w-would pack a stuffie, a blanket, l-lots of sweets, my phone, my audio book machine.. umm.. W-water. I g-guess t-that's i… https://t.co/qy2PyQsatM",NEUTRAL,NEUTRAL
wdym moving to another country won't fix all of my problems that's so silly,NEGATIVE,OPINIONATED
"You have TWO friends. No one likes you. All ur boyfriends left you MULTIPLE times. Fucking stole from you, cheated on you. HE WAS FUCKING PLANNING ON MOVING TO ANOTHER COUNTRY WITHOUT TELLING YOU?! BITCH SIT DOWN YOU DONT HAVE ANYTHING",NEGATIVE,OPINIONATED
2013 me: discovered that fleeing my problems and moving to another country doesn’t solve anything 2021 me: ??? More confused https://t.co/hx4JQYhmGl,NEGATIVE,OPINIONATED
"Ryan, Joy, &amp; their 5 kids have been living in the US for nearly a year and a half after 10+ years in China. They are moving this month to another country in East Asia. We ask God to prepare paperwork, housing, travel arrangements, and to comfort each member of their family! https://t.co/ZzBar2LYS4",POSITIVE,OPINIONATED
I’m definitely moving to another country before I turn 30,NEUTRAL,NEUTRAL
"Once such a law is adopted, my narrative will change from just “moving to another country “ to “exfiltrating from the country”… No other vaccines are allowed but the Russian ones, to get a QR code https://t.co/wXgLiMOdS6",NEUTRAL,NEUTRAL
Jusko ang gulo sa PH 2022 elections will change my view abt moving to another country yata char,NEUTRAL,NEUTRAL
"My mom is not worried about me moving to another country during uni,she is worried about my cat and where will he live",NEGATIVE,OPINIONATED
Moving to another country is tough. I have no semblance of a social life. I just look at my crypto going down and wallow in misery,NEGATIVE,OPINIONATED
I’m really moving to another country,POSITIVE,OPINIONATED
Somewhere in-between wanting a kid and moving to another country without telling anyone,NEUTRAL,NEUTRAL
"Question of the Day: If you were moving to another country, but could only pack one carry-on sized bag, what would you pack?",NEUTRAL,NEUTRAL
"Moving to another country is HARD but the reward is totally worth :P We still have a lot of things to do, so sorry for not answering my DM's before. In the meantime, here's some more progress of my Elden Ring fanart, slow but steady :P -- #ELDENRING #fanart #BandaiNamco #WIP https://t.co/svHhqgsJdU",NEUTRAL,NEUTRAL
i really thought moving to another country would fix everything but i forgot that Me would be coming with me,NEUTRAL,NEUTRAL
"This is so wrong and frustrating. I am a small business owner, and it is so disheartening to see the continued gov. support of BIG businesses over small biz. Legit: we are taking about packing up and moving our business to another country that cares... #Canada is off-track.",NEGATIVE,OPINIONATED
"Melissa Mora, owner of Mora Roja, told us everything about starting her own business and working a 9-5 job PLUS moving to another country and figuring out how to run a business in #Canada https://t.co/HAOEojHYPD #Artist #Entrepreneur https://t.co/Sxt9Mznpk3",NEUTRAL,NEUTRAL
me moving to another country,NEUTRAL,NEUTRAL
"Have you ever thought of living abroad? What are the difficulties and rewards of moving to another country? We’ll find out as Reza and Craig are joined by Emilia, Nick and their daughter Lucia: https://t.co/8nfdr1T1XN https://t.co/tYED9czRXX",POSITIVE,OPINIONATED
how do you tell people you’re moving to another country,NEUTRAL,NEUTRAL
"I really appreciate what you have been doing to us @SAMKLEF But what I think about these issues going on in Nigeria Moving up to this country to another country is not the best solution, We can spend millions of Naira Just moving to Canada and still get approved To move there",NEGATIVE,OPINIONATED
https://t.co/4HRmi8Wnbx People looking to relocate to another country for work will be keen to find out whether moving to another country would be worthwhile. #Australia #workinaustralia #australiapr #australiaimmigraion #migratetoaustralia #australiaworkvisa #yaxis https://t.co/EB1tMhTGqd,NEUTRAL,NEUTRAL
The tension between me and just getting up and moving to another country,NEUTRAL,NEUTRAL
"I am very drunk, but tonight was maybe the first time I've felt like an actual real human being in months. It's sad that someone I met that I really like tonight is moving to another country tho, but I guess people leaving is the story of my fucken life lol",POSITIVE,OPINIONATED
changing names and moving out to another country sounds so satisfying,POSITIVE,OPINIONATED
I’m one minor inconvenience away from moving to another country and never talking to anyone but my family ever again,NEGATIVE,OPINIONATED
Moving to another country and joining their military is wild. Like...what if yall go to battle with your home country?,NEUTRAL,NEUTRAL
"Melissa Mora, owner of Mora Roja, told us everything about starting her own business and working a 9-5 job PLUS moving to another country and figuring out how to run a business in #Canada https://t.co/njtHhkD8sR #Artist #Entrepreneur https://t.co/TKtv3fs8RE",NEUTRAL,NEUTRAL
"I’m moving to another country, I am fully sick of being the last person to hear the Sevens new music because I live in the States. So wack.",NEGATIVE,OPINIONATED
"Since moving to Japan, I think the hardest struggle I have encountered has been just figuring out how I want to go about life and change. I think anytime you move to another country, you have a chance to restart and founding you you are again can be the biggest challenge",NEGATIVE,OPINIONATED
"Friends, it’s been a while! We’ve both been pretty hectic - new job for Allysse, moving to another country for Jonathan (well, the flight is next week). But we’re slowly starting to get the ball rolling for another issue, and we’d like your help…",NEUTRAL,NEUTRAL
"If they plan on taxing the really rich to fund this Bill, what is to stop these rich folks from taking their money and moving to another country? They can afford it. Then it will fall on the citizens to repay this huge bill. Don't be fooled people!",NEUTRAL,NEUTRAL
"I’m definitely moving to another country if Trump is elected in 2025. Fortunately, it’s not going to happen.",NEUTRAL,NEUTRAL
I'm moving to another country later this month. What's one thing I'm going to forget to bring?,NEUTRAL,NEUTRAL
io questa mattina dopo aver risolto drama di altre persone: “Sometimes I think about getting on a plane and moving to another country” Sempre io che mi ricordo di averlo appena fatto,NEUTRAL,NEUTRAL
Every day I inch closer to moving to another country &amp; now I’m seeing TikToks about it????,NEUTRAL,NEUTRAL
"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack? — vibrators, laptop, charger, clothes, underwear and toiletries https://t.co/NuEzSUVfZj",NEUTRAL,NEUTRAL
My therapist explaining that moving to another country isnt the answer when I’m sure it is https://t.co/A1bfGnkYvO,NEUTRAL,NEUTRAL
Even tho my mom would k word me I am considering dropping out and just moving to another country to work in a bakery. Like dead ass. I don't want to drop out but this is so stressful.,NEUTRAL,NEUTRAL
ehh you broke up with your girl bcs she’s moving to another state which is far from you and now you’re flirting with me who is in ANOTHER COUNTRY?? Habis tu Malaysia dgn German tu dekat ke sundal?! in a same region???,NEUTRAL,NEUTRAL
i’m literally one minor inconvenience away from changing my name and moving to another country,POSITIVE,OPINIONATED
Thinking about…moving to another country and starting a new life with renewed interests new friends and new scenes… thinking constantly,NEUTRAL,NEUTRAL
Moving to another country makes you excited about life PODCAST! https://t.co/KpsJg7c3er,POSITIVE,OPINIONATED
A friend is moving to another country this week and this was our last time going out this year at least Im sad im gonna miss him so much,NEGATIVE,OPINIONATED
Good morning. This morning I'm thinking of moving to another country where the temperature is at least 20°C every day,POSITIVE,OPINIONATED
"I’m doing something very similar. I’m contemplating moving to another country! Especially, if a Republican gets elected in 2024. Canada, Italy… who knows?",NEUTRAL,NEUTRAL
"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack? — Apa ya duit yang banyak, kalau punya duit banyak kan gak bingung tuh, random bgt anon https://t.co/cil4dhy4K8",NEUTRAL,NEUTRAL
the sexual tension between me and moving to another country to start a new life,NEUTRAL,NEUTRAL
"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack? — A change of clothes, my makeup, switch, chargers, a couple of smaller plushies and some skin care items https://t.co/duwBUFtiub",NEUTRAL,NEUTRAL
MY BEST FRIEND IS MOVING TO ANOTHER COUNTRY LITERALLY PLEASE SAY SIKE :(((,NEGATIVE,OPINIONATED
"To be an immigrant, travel to study and live in another country, often times can make you feel like a second class citizen - I have chills that I am moving from an entry level position to mid senior position within 2 years of working at this company. My heart! My whole heart.",NEUTRAL,NEUTRAL
im moving to another country in 2 weeks and ive packed nothing yet please send help xoxo,POSITIVE,OPINIONATED
"When I told people I was moving to another country, they told me that the grass isn't always greener on the other side. Well, I moved to Ireland, so the grass is literally greener here.",NEUTRAL,NEUTRAL
Moving out to another country is some messy sht I am not entirely prepared for,NEGATIVE,OPINIONATED
"Not a drop of remorse, and why is he moving like we were 007 hunting him down to the point he had to scape undercover to another country. All of this just to play the victim and not issue a simple apology: “sorry, that crossed limits. I should not make xenophobic remarks”.",NEGATIVE,OPINIONATED
"Well, between both Pokemon and Digimon I've loved since earliest memories, and Yugioh which helped me make new friends after moving to another country... a hard three way tie between them.",NEGATIVE,OPINIONATED
I'm literally moving into another country and the only concern my mother has is for me to buy socks and underwear to bring them there,POSITIVE,OPINIONATED
Hi as the brain drain memes become more popular I just want to say whilst moving to another country is a very valid solution to your current situation. Please remember that it is a process and everything won’t be smooth sailing from there on out,POSITIVE,OPINIONATED
i need help i need to tell my parents im trans befroe december bc im moving to another country and ive been enrolled in a girls school but i dont wanna have to pretend to be a girl for more years bc it sucks but idk whatr to do its terrifying,NEGATIVE,OPINIONATED
I think about moving to another country regularly.,NEUTRAL,NEUTRAL
I concord with you. All these terrorist are moving around freely without anyone arresting them. But look at an innocent man who has not commit any crime was kidnapped from another country and brought to Nigeria . What a shame . This is a lawless country .,NEGATIVE,OPINIONATED
"Work hard to change the minds of millions of people including your government or go where you are treated best. What's easier, transforming Microsoft as an employee there or doing your own startup? Moving to another country is even simpler! https://t.co/WyS8szx6mO",POSITIVE,OPINIONATED
"When doing anything new, particularly moving to another country, there will always be a few slip-ups and things you will wish you had known before. In this article, we want to save you some trouble – and money – by sharing some of the most common mistakes people make when re… https://t.co/YaNq1KgH12",NEGATIVE,OPINIONATED
I have an obsession of proving people wrong. Like for example moving to another country for a couple months to prove to my sister that I can be independent. I don’t think it’s a heathy obsession either…..,NEGATIVE,OPINIONATED
One minute I’m like I could live here for a couple more years and then the next I’m entertaining the idea of moving to another country…. Which would surprise no one.,POSITIVE,OPINIONATED
"To those who think they can get away from the tyranny by moving to another country, think again. Texas and Florida look pretty good right now as well, but there’s no guarantee it will last forever.",NEUTRAL,NEUTRAL
"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack?",NEUTRAL,NEUTRAL
Talked to my mom about me possibly moving to another country TEMPORARILY &amp; she started praying to God not to let me go in front of me. Dramática.,NEUTRAL,NEUTRAL
"First-Gen Students are: resilient! Moving from another country to America is already a difficult transition, this can be even more stressful when you have the pressure to be the first in your family to attend &amp; graduate college. #FIRSTGENMIZZOU #CELEBRATEFIRSTGEN @Mizzou https://t.co/t3jVDId537",NEUTRAL,NEUTRAL
One of the common topics that would come is the challenges expats face. We will explore some common problems of moving to another country. #expat #expatriate #expatlife #globalnomad #digitalnomad #expats https://t.co/fQwfP77CeJ,NEGATIVE,OPINIONATED
"the idea of packing my bags and moving to another country without anyone knowing, has me in a choke hold.",NEUTRAL,NEUTRAL
Even the one of to say what They should rest everyone. Everyone is moving on. He’s in another country. No questions about his music or even the egg he just cooked.,NEUTRAL,NEUTRAL
"Do you guys think americans are familiar with the concept of ""moving to another country"" or is that too advanced for them https://t.co/4oB7Y6UayB",NEUTRAL,NEUTRAL
"Not to be an ungrateful prick, but moving out and living alone in another country asap do be sounding like my dream now.",NEUTRAL,NEUTRAL
No offense but moving to another country next year is actually such,NEUTRAL,NEUTRAL
"So stressed today , so many things to do, moving to another country is exciting but the things you have to do…",NEUTRAL,NEUTRAL
I need someone to hold my hand lmao moving to another country sure is Hard lel,POSITIVE,OPINIONATED
Everyone is a foreigner in another country and with our economy? We'll be moving to seek employment in other countries too. Watch! Limit your aspersions. #NoToZimWorkPermits,NEUTRAL,NEUTRAL
"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack? — my gf she would probably fit in there https://t.co/trjyRyHV7j",NEUTRAL,NEUTRAL
